Case Number,Case Title
A-475-826,Certain Cut-To-Length Carbon-Quality Steel Plate From Italy
A-475-828,Stainless Steel Butt-Weld Pipe Fittings From Italy
A-475-829,Stainless Steel Bar From Italy
A-475-832,Corrosion-Resistant Steel Products From Italy
A-475-834,Carbon and Alloy Steel Cut-To-Length Plate From Italy
A-475-835,Finished Carbon Steel Flanges From Italy
A-475-836,Carbon and Alloy Steel Wire Rod From Italy
A-475-838,Cold-Drawn Mechanical Tubing From Italy
A-475-839,Forged Steel Fittings From Italy
A-475-840,Forged Steel Fluid End Blocks From Italy
A-475-842,Common Alloy Aluminum Sheet From Italy
A-475-843,Prestressed Concrete Steel Wire Strand From Italy
A-475-988,Crystalline Silicon Photovoltaic Cells From Italy
A-479-001,Common Alloy Aluminum Sheet From Croatia
A-479-988,Crystalline Silicon Photovoltaic Cells From Croatia
A-484-803,Large Diameter Welded Carbon and Alloy Steel Line Pipe From Greece
A-484-804,Common Alloy Aluminum Sheet From Greece
A-485-805,"Carbon And Alloy Seamless Standard, Line, And Pressure Pipe (Under 4 1/2 Inches) From Romania"
A-485-807,Circular Welded Non-Alloy Steel Pipe From Romania
A-485-809,Common Alloy Aluminum Sheet From Romania
A-489-501,Welded Carbon Steel Pipe & Tube From Turkey
A-489-805,"Pasta, Certain From Turkey"
A-489-807,Steel Concrete Reinforcing Bar From Turkey
A-489-810,Cold-Rolled Carbon Steel Flat Products From Turkey
A-489-815,Light-Walled Rectangular Pipe And Tube From Turkey
A-489-816,Oil Country Tubular Goods From Turkey
A-489-818,Steel Concrete Reinforcing Bars From Turkey
A-489-820,Steel Nails From Turkey
A-489-822,Welded Line Pipe From Turkey
A-489-824,Heavy Walled Rectangular Welded Carbon Steel Pipes and Tubes From Turkey
A-489-826,Hot-Rolled Steel Flat Products From Turkey
A-489-828,Carbon and Alloy Steel Cut-To-Length Plate From Turkey
A-489-829,Steel Concrete Reinforcing Bar From Turkey
A-489-831,Carbon and Alloy Steel Wire Rod From Turkey
A-489-833,Large Diameter Welded Carbon and Alloy Steel Line and Structural Pipe From Turkey
A-489-835,Dried Tart Cherries From Turkey
A-489-837,Quartz Surface Products From Turkey
A-489-839,Common Alloy Aluminum Sheet From Turkey
A-489-841,Mattresses From Turkey
A-489-842,Prestressed Concrete Steel Wire Strand From Turkey
A-489-988,Crystalline Silicon Photovoltaic Cells From Turkey
A-499-504,Steel Concrete Reinforcing Bars From Latvia
A-499-804,Steel Concrete Reinforcing Bars From Latvia
A-507-502,In-Shell Pistachios From Iran
A-508-812,Magnesium From Israel
A-508-988,Crystalline Silicon Photovoltaic Cells From Israel
A-517-804,Oil Country Tubular Goods From Saudi Arabia
A-517-805,Acetone From Saudi Arabia
A-517-806,Prestressed Concrete Steel Wire Strand From Saudi Arabia
A-520-802,Steel Nails From United Arab Emirates
A-520-803,Polyethylene Terephthalate (Pet) Film From United Arab Emirates
A-520-804,Steel Nails From United Arab Emirates
A-520-805,Circular Welded Carbon-Quality Steel Pipe From United Arab Emirates
A-520-807,Circular Welded Carbon-Quality Steel Pipe From United Arab Emirates
A-520-808,Carbon and Alloy Steel Wire Rod From United Arab Emirates
A-520-809,Prestressed Concrete Steel Wire Strand From United Arab Emirates
A-523-801,Circular Welded Carbon-Quality Steel Pipe From Oman
A-523-808,Steel Nails From Oman
A-523-810,Polyethylene Terephthalate Resin From Oman
A-523-812,Circular Welded Carbon-Quality Steel Pipe From Oman
A-523-813,Polyethylene Terephthalate Sheet From Oman
A-523-814,Common Alloy Aluminum Sheet From Oman
A-525-001,Common Alloy Aluminum Sheet From Bahrain
A-533-502,Welded Carbon Steel Pipe & Tube From India
A-533-806,Sulfanilic Acid From India
A-533-808,Stainless Steel Wire Rod From India
A-533-810,Stainless Steel Bar From India
A-533-813,Certain Preserved Mushrooms From India
A-533-817,Certain Cut-To-Length Carbon-Quality Steel Plate From India
A-533-820,Certain Hot-Rolled Carbon Steel Flat Products From India
A-533-823,Silicomanganese From India
A-533-824,Polyethylene Terephthalate (Pet) Film From India
A-533-828,Prestressed Concrete Steel Wire Strand From India
A-533-838,Carbazole Violet Pigment 23 From India
A-533-840,Frozen Warmwater Shrimp From India
A-533-843,Lined Paper Products From India
A-533-847,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid (Hedp) From India"
A-533-848,Commodity Matchbooks From India
A-533-852,Circular Welded Carbon-Quality Steel Pipe From India
A-533-855,Steel Threaded Rod From India
A-533-857,Oil Country Tubular Goods From India
A-533-859,Steel Nails From India
A-533-861,Polyethylene Terephthalate Resin From India
A-533-863,Corrosion-Resistant Steel Products From India
A-533-865,Cold-Rolled Steel Flat Products From India
A-533-867,Welded Stainless Pressure Pipe From India
A-533-869,Off-the-Road Tires From India
A-533-871,Finished Carbon Steel Flanges From India
A-533-873,Cold-Drawn Mechanical Tubing From India
A-533-875,Fine Denier Polyester Staple Fiber From India
A-533-877,Stainless Steel Flanges From India
A-533-879,Polytetrafluoroethylene (PTFE) Resin From India
A-533-881,Large Diameter Welded Carbon and Alloy Steel Line Pipe From India
A-533-883,Glycine From India
A-533-885,Polyester Textured Yarn From India
A-533-887,Carbon and Alloy Steel Threaded Rod From India
A-533-889,Quartz Surface Products From India
A-533-891,Forged Steel Fittings From India
A-533-893,Forged Steel Fluid End Blocks From India
A-533-895,Common Alloy Aluminum Sheet From India
A-533-988,Crystalline Silicon Photovoltaic Cells From Hungary
A-535-903,Circular Welded Carbon-Quality Steel Pipe From Pakistan
A-535-905,Polyethylene Terephthalate Resin From Pakistan
A-542-802,Rubber Bands From Sri Lanka
A-549-502,Welded Carbon Steel Pipe & Tube From Thailand
A-549-807,Carbon Steel Butt-Weld Pipe Fittings From Thailand
A-549-812,Furfuryl Alcohol From Thailand
A-549-813,Canned Pineapple Fruit From Thailand
A-549-817,Certain Hot-Rolled Carbon Steel Flat Products From Thailand
A-549-820,Prestressed Concrete Steel Wire Strand From Thailand
A-549-821,Polyethylene Retail Carrier Bags From Thailand
A-549-822,Frozen Warmwater Shrimp From Thailand
A-549-829,Prestressed Concrete Steel Rail Tie Wire From Thailand
A-549-830,Welded Stainless Steel Pressure Pipe From Thailand
A-549-831,Steel Threaded Rod From Thailand
A-549-832,Oil Country Tubular Goods From Thailand
A-549-833,Citric Acid and Certain Citrate Salts From Thailand
A-549-835,Rubber Bands From Thailand
A-549-837,Glycine From Thailand
A-549-839,Steel Propane Cylinders From Thailand
A-549-840,Carbon and Alloy Steel Threaded Rod From Thailand
A-549-841,Mattresses From Thailand
A-549-842,Passenger Vehicle and Light Truck Tires From Thailand
A-549-988,Crystalline Silicon Photovoltaic Cells From Thailand
A-552-801,Frozen Fish Fillets From Vietnam
A-552-802,Frozen Warmwater Shrimp From Vietnam
A-552-803,Uncovered Innerspring Units From Vietnam
A-552-806,Polyethylene Retail Carrier Bags From Vietnam
A-552-809,Circular Welded Carbon-Quality Steel Pipe From Vietnam
A-552-811,Circular Welded Carbon-Quality Steel Pipe From Vietnam
A-552-812,Steel Wire Garment Hangers From Vietnam
A-552-814,Utility Scale Wind Towers From Vietnam
A-552-816,Welded Stainless Steel Pressure Pipe From Vietnam
A-552-817,Oil Country Tubular Goods From Vietnam
A-552-818,Steel Nails From Vietnam
A-552-820,Circular Welded Carbon-Quality Steel Pipe From Vietnam
A-552-821,Tool Chests and Cabinets From Vietnam
A-552-822,Fine Denier Polyester Staple Fiber From Vietnam
A-552-823,Laminated Woven Sacks From Vietnam
A-552-825,Utility Scale Wind Towers From Vietnam
A-552-827,Mattresses From Vietnam
A-552-828,Passenger Vehicle and Light Truck Tires From Vietnam
A-552-830,Walk-Behind Lawn Mowers and Parts Thereof From Vietnam
A-552-831,Seamless Refined Copper Pipe and Tube From Vietnam
A-552-988,Crystalline Silicon Photovoltaic Cells From Vietnam
A-555-001,Mattresses From Cambodia
A-557-805,Extruded Rubber Tread From Malaysia
A-557-809,Stainless Steel Butt-Weld Pipe Fittings From Malaysia
A-557-813,Polyethylene Retail Carrier Bags From Malaysia
A-557-815,Welded Stainless Steel Pressure Pipe From Malaysia
A-557-816,Steel Nails From Malaysia
A-557-818,Mattresses From Malaysia
A-557-819,Prestressed Concrete Steel Wire Strand From Malaysia
A-557-820,Silicon Metal From Malaysia
A-557-988,Crystalline Silicon Photovoltaic Cells From Malaysia
A-557-994,Carbon Steel Butt-Weld Pipe Fittings From Malaysia
A-559-801,Anti-Friction Bearings From Singapore
A-559-808,Acetone From Singapore
A-559-988,Crystalline Silicon Photovoltaic Cells From Singapore
A-560-802,Certain Preserved Mushrooms From Indonesia
A-560-805,Certain Cut-To-Length Carbon-Quality Steel Plate From Indonesia
A-560-811,Steel Concrete Reinforcing Bars From Indonesia
A-560-812,Certain Hot-Rolled Carbon Steel Flat Products From Indonesia
A-560-815,Carbon And Certain Alloy Steel Wire Rod From Indonesia
A-560-818,Lined Paper Products From Indonesia
A-560-822,Polyethylene Retail Carrier Bags From Indonesia
A-560-823,Coated Paper Suitable For High-Quality Print Graphics Using Sheet-Fed Presses From Indonesia
A-560-826,Monosodium Glutamate from Indonesia From Indonesia
A-560-828,Uncoated Paper From Indonesia
A-560-830,Biodiesel From Indonesia
A-560-832,Polyethylene Terephthalate Resin From Indonesia
A-560-833,Utility Scale Wind Towers From Indonesia
A-560-835,Common Alloy Aluminum Sheet From Indonesia
A-560-836,Mattresses From Indonesia
A-560-837,Prestressed Concrete Steel Wire Strand From Indonesia
A-565-801,Stainless Steel Butt-Weld Pipe Fittings From Philippines
A-565-802,Oil Country Tubular Goods From Philippines
A-565-803,Circular Welded Carbon-Quality Steel Pipe From Philippines
A-565-988,Crystalline Silicon Photovoltaic Cells From Philippines
A-570-001,Potassium Permanganate From People Republic of China
A-570-002,Chloropicrin From People Republic of China
A-570-007,Barium Chloride From People Republic of China
A-570-008,Calcium Hypochlorite From People Republic of China
A-570-010,Certain Crystalline Silicon Photovoltaic Products From People Republic of China
A-570-012,for Carbon and Certain Alloy Steel Wire Rod From People Republic of China
A-570-014,53-Foot Domestic Dry Containers From People Republic of China
A-570-016,Passenger Vehicle and Light Truck Tires From People Republic of China
A-570-018,Boltless Steel Shelving Units Prepackaged for Sale From People Republic of China
A-570-020,Melamine From People Republic of China
A-570-022,Uncoated Paper From People Republic of China
A-570-024,Polyethylene Terephthalate Resin From People Republic of China
A-570-026,Corrosion-Resistant Steel Products From People Republic of China
A-570-028,Hydrofluorocarbon Blends From People Republic of China
A-570-029,Cold-Rolled Steel Flat Products From People Republic of China
A-570-032,Certain Iron Mechanical Transfer Drive Components From People Republic of China
A-570-033,Large Residential Washers From People Republic of China
A-570-034,Off-the-Road Tires From People Republic of China
A-570-036,Biaxial Integral Geogrid Products From People Republic of China
A-570-038,Amorphous Silica Fabric From People Republic of China
A-570-040,Truck and Bus Tires From People Republic of China
A-570-042,Stainless Steel Sheet and Strip From People Republic of China
A-570-044,"1,1,1,2-Tetrafluoroethane (R-134a) From People Republic of China"
A-570-045,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid (HEDP) From People Republic of China"
A-570-047,Carbon and Alloy Steel Cut-To-Length Plate From People Republic of China
A-570-049,Ammonium Sulfate From People Republic of China
A-570-051,Hardwood Plywood Products From People Republic of China
A-570-053,Aluminum Foil From People Republic of China
A-570-055,Carton-Closing Staples From People Republic of China
A-570-056,Tool Chests and Cabinets From People Republic of China
A-570-058,Cold-Drawn Mechanical Tubing From People Republic of China
A-570-060,Fine Denier Polyester Staple Fiber From People Republic of China
A-570-062,Cast Iron Soil Pipe Fittings From People Republic of China
A-570-064,Stainless Steel Flanges From People Republic of China
A-570-066,Polytetrafluoroethylene (PTFE) Resin From People Republic of China
A-570-067,Forged Steel Fittings From People Republic of China
A-570-069,Rubber Bands From People Republic of China
A-570-071,"Sodium Gluconate, Gluconic Acid and Derivative Products From People Republic of China"
A-570-073,Common Alloy Aluminum Sheet From People Republic of China
A-570-075,Plastic Decorative Ribbon From People Republic of China
A-570-077,Large Diameter Welded Carbon and Alloy Steel Line and Structural Pipe From People Republic of China
A-570-079,Cast Iron Soil Pipe From People Republic of China
A-570-082,Steel Wheels From People Republic of China
A-570-084,Quartz Surface Products From People Republic of China
A-570-086,Steel Propane Cylinders From People Republic of China
A-570-088,Steel Racks From People Republic of China
A-570-090,Certain Steel Wheels 12 to 16.5 Inches in Diameter From People Republic of China
A-570-092,Mattresses From People Republic of China
A-570-093,Refillable Stainless Steel Kegs From People Republic of China
A-570-095,Aluminum Wire and Cable From People Republic of China
A-570-097,Polyester Textured Yarn From People Republic of China
A-570-101,Greig Polyester Cotton Print Cloth From People Republic of China
A-570-102,Fabricated Structural Steel From People Republic of China
A-570-104,Carbon and Alloy Steel Threaded Rod From People Republic of China
A-570-106,Wooden Cabinets and Vanities and Components Thereof From People Republic of China
A-570-108,Ceramic Tile From People Republic of China
A-570-110,Vertical Metal File Cabinets From People Republic of China
A-570-112,Collated Steel Staples From People Republic of China
A-570-114,Glass Containers From People Republic of China
A-570-117,Wood Mouldings and Millwork Products From People Republic of China
A-570-119,"Vertical Shaft Engines between 225cc and 999cc, and Parts Thereof From People Republic of China"
A-570-121,Difluoromethane (R-32) From People Republic of China
A-570-122,Corrosion Inhibitors From People Republic of China
A-570-124,"Certain Vertical Shaft Engines between 99cc and 225cc, and Parts Thereof From People Republic of China"
A-570-126,Non-Refillable Steel Cylinders From People Republic of China
A-570-129,Walk-Behind Lawn Mowers and Parts Thereof From People Republic of China
A-570-131,Twist Ties From People Republic of China
A-570-133,Metal Lockers and Parts Thereof From People Republic of China
A-570-135,Chassis and Subassemblies Thereof From People Republic of China
A-570-502,Iron Construction Castings From People Republic of China
A-570-504,Petroleum Wax Candles From People Republic of China
A-570-506,Porcelain-On-Steel Cooking Ware From People Republic of China
A-570-601,Tapered Roller Bearings From People Republic of China
A-570-803,"Heavy Forged Hand Tools, With Or Without Handles From People Republic of China"
A-570-806,Silicon Metal From People Republic of China
A-570-814,Carbon Steel Butt-Weld Pipe Fittings From People Republic of China
A-570-815,Sulfanilic Acid From People Republic of China
A-570-822,Helical Spring Lock Washers From People Republic of China
A-570-825,Sebacic Acid From People Republic of China
A-570-826,Paper Clips From People Republic of China
A-570-827,"Pencils, Cased From People Republic of China"
A-570-828,Silicomanganese From People Republic of China
A-570-831,"Garlic, Fresh From People Republic of China"
A-570-832,Pure Magnesium From People Republic of China
A-570-835,Furfuryl Alcohol From People Republic of China
A-570-836,Glycine From People Republic of China
A-570-846,Brake Rotors From People Republic of China
A-570-847,Persulfates From People Republic of China
A-570-848,Freshwater Crawfish Tailmeat From People Republic of China
A-570-849,Certain Cut-To-Length Carbon Steel From People Republic of China
A-570-851,Certain Preserved Mushrooms From People Republic of China
A-570-855,Non-Frozen Apple Juice Concentrate From People Republic of China
A-570-860,Steel Concrete Reinforcing Bars From People Republic of China
A-570-862,Foundry Coke From People Republic of China
A-570-863,Honey From People Republic of China
A-570-864,Pure Magnesium In Granular Form From People Republic of China
A-570-865,Certain Hot-Rolled Carbon Steel Flat Products From People Republic of China
A-570-866,Folding Gift Boxes From People Republic of China
A-570-868,Folding Metal Tables And Chairs From People Republic of China
A-570-873,Ferrovanadium From People Republic of China
A-570-874,Ball Bearings and Parts Thereof From People Republic of China
A-570-875,Non-Malleable Cast Iron Pipe Fittings From People Republic of China
A-570-878,Saccharin From People Republic of China
A-570-879,Polyvinyl Alcohol From People Republic of China
A-570-880,Barium Carbonate From People Republic of China
A-570-881,Malleable Cast Iron Pipe Fittings From People Republic of China
A-570-882,Refined Brown Aluminum Oxide From People Republic of China
A-570-886,Polyethylene Retail Carrier Bags From People Republic of China
A-570-887,Tetrahydrofurfuryl Alcohol From People Republic of China
A-570-888,"Floor-Standing, Metal-Top Ironing Tables And Parts Thereof From People Republic of China"
A-570-890,Wooden Bedroom Furniture From People Republic of China
A-570-891,Hand Trucks From People Republic of China
A-570-892,Carbazole Violet Pigment 23 From People Republic of China
A-570-893,Frozen Warmwater Shrimp From People Republic of China
A-570-894,Tissue Paper Products From People Republic of China
A-570-895,Crepe Paper Products From People Republic of China
A-570-896,Magnesium Metal From People Republic of China
A-570-898,Chlorinated Isocyanurates From People Republic of China
A-570-899,Artist Canvas From People Republic of China
A-570-900,Diamond Sawblades From People Republic of China
A-570-901,Lined Paper Products From People Republic of China
A-570-904,Activated Carbon From People Republic of China
A-570-905,Polyester Staple Fiber From People Republic of China
A-570-908,Sodium Hexametaphosphate From People Republic of China
A-570-909,Steel Nails From People Republic of China
A-570-910,Circular Welded Carbon Quality Steel Pipe From People Republic of China
A-570-912,New Pneumatic Off-The-Road Tires From People Republic of China
A-570-914,Light-Walled Rectangular Pipe And Tube From People Republic of China
A-570-916,Laminated Woven Sacks From People Republic of China
A-570-918,Steel Wire Garment Hangers From People Republic of China
A-570-919,Electrolytic Manganese Dioxide From People Republic of China
A-570-920,Lightweight Thermal Paper From People Republic of China
A-570-922,Raw Flexible Magnets From People Republic of China
A-570-924,Polyethylene Terephthalate (Pet) Film From People Republic of China
A-570-925,Sodium Nitrite From People Republic of China
A-570-928,Uncovered Innerspring Units From People Republic of China
A-570-929,Small Diameter Graphite Electrodes From People Republic of China
A-570-930,Circular Welded Austenitic Stainless Pressure Pipe From People Republic of China
A-570-932,Steel Threaded Rod From People Republic of China
A-570-933,Frontseating Service Valves From People Republic of China
A-570-934,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid (revoked 2014) From People Republic of China"
A-570-935,Circular Welded Carbon Quality Steel Line Pipe From People Republic of China
A-570-937,Citric Acid And Citrate Salt From People Republic of China
A-570-939,Tow-Behind Lawn Groomers And Parts Thereof From People Republic of China
A-570-941,Kitchen Appliance Shelving And Racks From People Republic of China
A-570-943,Oil Country Tubular Goods From People Republic of China
A-570-945,Prestressed Concrete Steel Wire Strand From People Republic of China
A-570-947,Steel Grating From People Republic of China
A-570-949,Wire Decking From People Republic of China
A-570-951,Woven Electric Blankets From People Republic of China
A-570-952,Narrow Woven Ribbons With Woven Selvedge From People Republic of China
A-570-954,Magnesia Carbon Bricks From People Republic of China
A-570-956,"Seamless Carbon And Alloy Steel Standard, Line, And Pressure Pipe From People Republic of China"
A-570-958,Coated Paper Suitable For High-Quality Print Graphics Using Sheet-Fed Presses From People Republic of China
A-570-960,Certain Standard Steel Fastners From People Republic of China
A-570-962,Potassium Phosphate Salts From People Republic of China
A-570-964,Seamless Refined Copper Pipe And Tube From People Republic of China
A-570-965,Drill Pipe From People Republic of China
A-570-967,Aluminum Extrusions From People Republic of China
