date,headline
"October 25, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Sodium Sulfate Anhydrous from Canada
"October 25, 2019",U.S. Department of Commerce Announces Affirmative Preliminary Circumvention Ruling on Exports of Diamond Sawblades from China
"October 22, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Aluminum Wire and Cable from China
"October 22, 2019",U.S. Department of Commerce Initiates a Circumvention Inquiry into Imports of Rebar from Mexico
"October 21, 2019",U.S. Department of Commerce Continues Suspended Antidumping Investigation of Fresh Tomatoes from Mexico and Issues Final Affirmative Determination of Dumping
"October 18, 2019",U.S. Department of Commerce Finds Dumping of Imports of Mattresses from China
"October 18, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Stainless-Steel Kegs from China and Germany
"October 16, 2019",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Glass Containers from China
"October 16, 2019",U.S. Department of Commerce Finds Dumping of Imports of Acetone from Singapore and Spain
"October 16, 2019",U.S. Department of Commerce Finds Dumping of Imports of Carbon and Alloy Steel Threaded Rod from Thailand
"October 11, 2019","U.S. Department of Commerce Initiates Circumvention Inquiries into Imports of Uncoated Paper from Australia, Brazil, China, and Indonesia"
"October 8, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Vertical Metal Filing Cabinets from China
"October 8, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determinations in the Countervailing Duty Investigations of Imports of Quartz Surface Products from India and Turkey
"October 7, 2019",U.S. Department of Commerce Adds 28 Chinese Organizations to its Entity List
"October 3, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Wooden Cabinets and Vanities from China
"October 1, 2019",U.S. Department of Commerce Finds Dumping of Imports of Strontium Chromate from Austria and France
"September 23, 2019",U.S. Department of Commerce Issues Preliminary Determinations in the Antidumping and Countervailing Duty Investigations of Imports of Dried Tart Cherries from Turkey
"September 20, 2019","U.S. Department of Commerce Issues Preliminary Antidumping Duty Determinations on Carbon and Alloy Steel Threaded Rod from China, India, and Taiwan"
"September 19, 2019",U.S. Department of Commerce Finalizes Suspension Agreement on Fresh Tomatoes from Mexico
"September 18, 2019","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Imports of Acetone from Belgium, South Africa, and South Korea"
"September 10, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the Countervailing Duty Investigation of Imports of Ceramic Tile from China
"September 4, 2019","U.S. Department of Commerce Issues Preliminary Antidumping Duty Determinations on Fabricated Structural Steel from Canada, China, and Mexico"
"August 21, 2019","U.S. Department of Commerce Initiates Antidumping Duty Investigations of Imports of Polyethylene Terephthalate Sheet from Korea, Mexico, and Oman"
"August 21, 2019",U.S. Department of Commerce Announces a New Draft Suspension Agreement on Fresh Tomatoes from Mexico
"August 19, 2019",Department of Commerce Adds Dozens of New Huawei Affiliates to the Entity List and Maintains Narrow Exemptions through the Temporary General License
"August 14, 2019","U.S. Department of Commerce Self-Initiates Inquiries into Possible Circumvention Involving Exports of Corrosion-Resistant Steel Products Completed in Costa Rica, Guatemala, Malaysia, South Africa, and the United Arab Emirates"
"August 13, 2019",U.S. Department of Commerce Finds Dumping of Imports of Refillable Stainless Steel Kegs from Mexico
"August 8, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the Countervailing Duty Investigation of Imports of Wooden Cabinets and Vanities from China
"August 1, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Carbon and Alloy Steel Threaded Rod from Thailand
"July 30, 2019",U.S. Department of Commerce Finds Dumping of Imports of Glycine from Thailand
"July 30, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Acetone from Singapore and Spain
"July 30, 2019","U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Utility Scale Wind Towers from Canada, Indonesia, and Vietnam"
"July 25, 2019",U.S. Department of Commerce Issues Preliminary Determination in the Antidumping and Countervailing Duty Investigations of Imports of Vertical Metal File Cabinets from China
"July 23, 2019",U.S. Department of Commerce Issues Preliminary Determinations in the Countervailing Duty Investigations of Imports of Carbon and Alloy Steel Threaded Rod from China and India
"July 18, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Steel Racks from China
"July 8, 2019","U.S. Department of Commerce Issues Preliminary Determinations in the Countervailing Duty Investigations of Imports of Fabricated Structural Steel from China, Canada, and Mexico"
"July 3, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Magnesium from Israel
"July 3, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Certain Steel Wheels from China
"July 2, 2019",U.S. Department of Commerce Announces Three Affirmative Preliminary Circumvention Rulings on Exports of Steel Products from Vietnam
"June 28, 2019","U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Certain Collated Steel Staples from China, Korea, and Taiwan"
"June 26, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Polyester Textured Yarn from China and India
"June 19, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Steel Propane Cylinders from China and Thailand
"June 3, 2019",Secretary Wilbur Ross Statement on Meeting with Mexico's Secretary of Economy
"May 30, 2019",U.S. Department Of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Aluminum Wire and Cable from China
"May 29, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Mattresses from China
"May 29, 2019","U.S. Department Of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Refillable Stainless Steel Kegs from China, Germany, and Mexico"
"May 29, 2019",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Certain Quartz Surface Products from India and Turkey
"May 23, 2019",The Department of Commerce Amends Countervailing Duty Process
"May 21, 2019",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Vertical Metal File Cabinets from China
"May 20, 2019",Department of Commerce Issues Limited Exemptions on Huawei Products
"May 17, 2019",Statement from U.S. Secretary of Commerce Wilbur Ross on President Trump’s Section 232 Tariff Modifications
"May 16, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Quartz Surface Products from China
"May 15, 2019",Department of Commerce Announces the Addition of Huawei Technologies Co. Ltd. to the Entity List
"May 14, 2019",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Dried Tart Cherries from Turkey
"May 14, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Strontium Chromate from France and Negative Preliminary Antidumping Duty Determination from Austria
"May 13, 2019",The Department of Commerce Identifies Entities of National Security Concern
"May 7, 2019",U.S. Department of Commerce Announces the Termination of the Suspension Agreement on Fresh Tomatoes from Mexico
"May 6, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the Countervailing Duty Investigation of Imports of Magnesium from Israel
"May 1, 2019",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Ceramic Tile from China
"April 29, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determinations in the Countervailing Duty Investigations of Imports of Polyester Textured Yarn from China and India
"April 26, 2019","U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Glycine from India, China, and Japan"
"April 18, 2019",U.S. Department of Commerce Initiates Antidumping Duty Investigation of Imports of Sodium Sulfate Anhydrous from Canada
"April 16, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Steel Wheels 12 to 16.5 Inches in Diameter from China
"April 8, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Laminated Woven Sacks from Vietnam
"April 2, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the Countervailing Duty Investigation of Imports of Aluminum Wire and Cable from China
"April 1, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the Countervailing Duty Investigation of Imports of Refillable Stainless Steel Kegs from China
"March 27, 2019","U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Wooden Cabinets, Vanities, and Components Thereof from China"
"March 22, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Steel Wheels from China
"March 15, 2019","U.S. Department Of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Carbon and Alloy Steel Threaded Rod from China, India, Taiwan, and Thailand"
"March 12, 2019","U.S. Department of Commerce Initiates Antidumping Duty Investigations of Imports of Acetone from Belgium, Korea, Saudi Arabia, Singapore, South Africa, and Spain"
"March 4, 2019",U.S. Department of Commerce Initiates Section 232 Investigation into Titanium Sponge Imports
"March 1, 2019",U.S. Department of Commerce Finds Dumping of Imports of Rubber Bands from Thailand
"February 26, 2019","U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Fabricated Structural Steel from Canada, China, and Mexico"
"February 26, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Imports of Steel Racks from China
"February 25, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Cast Iron Soil Pipe from China
"February 21, 2019","U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Large Diameter Welded Pipe from Canada, Greece, Korea, and Turkey"
"February 21, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the Countervailing Duty Investigation of Imports of Certain Steel Wheels from China
"February 7, 2019",U.S. Department of Commerce Announces Intent to Withdraw from Suspension Agreement on Fresh Tomatoes from Mexico
"February 5, 2019",Statement of Secretary of Commerce Wilbur Ross on President Donald J. Trump's State of the Union Address
"December 21, 2018",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Plastic Decorative Ribbon from China
"December 19, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Steel Propane Cylinders from China and Thailand
"December 10, 2018",U.S. Secretary of Commerce Applauds ITC Self-Initiation Final Determination
"November 15, 2018",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Magnesium from Israel
"November 15, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Quartz Surface Products from China
"November 14, 2018",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Rubber Bands from China
"November 14, 2018",Secretary Ross Statement on USW Ratification of New Contract with US Steel
"November 8, 2018",U.S. Department Of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Polyester Textured Yarn from China and India
"September 10, 2018",U.S. Secretary of Commerce Wilbur Ross Introduces a New Tool to Deliver Access to Global Steel Trade Statistics
"August 30, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Rubber Bands from China and Thailand
"August 29, 2018",President Trump Signs Proclamation Allowing Steel and Aluminum Product Exclusions for Quota Countries
"August 29, 2018",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations on Certain Steel Wheels 12 to 16.5 Inches in Diameter from China
"August 28, 2018","U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Glycine from China and India, Negative Preliminary Countervailing Duty Determination on Glycine from Thailand"
"August 27, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination of Imports of Certain Steel Wheels from China
"August 27, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Cast Iron Soil Pipe from China
"August 24, 2018",U.S. Department of Commerce Announces Selection of ZTE Special Compliance Coordinator
"August 21, 2018","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Large Diameter Welded Pipe from Canada, China, Greece, India, Korea, and Turkey"
"August 13, 2018",U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Stainless Steel Flanges from India
"August 10, 2018",U.S. Secretary of Commerce Wilbur Ross Statement on President Trump’s Decision to Impose an Additional Tariff on Imported Steel
"August 7, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the Countervailing Duty Investigation of Imports of Laminated Woven Sacks from Vietnam
"August 2, 2018",U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Uncoated Groundwood Paper from Canada
"July 31, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Certain Plastic Decorative Ribbon from China
"July 24, 2018",U.S. Department of Commerce Issues Affirmative Final Antidumping Duty Determination on Forged Steel Fittings from Taiwan
"July 18, 2018",U.S. Department of Commerce Initiates Section 232 Investigation into Uranium Imports
"July 13, 2018",Commerce Department Lifts Ban After ZTE Deposits Final Tranche of $1.4 Billion Penalty
"July 12, 2018",U.S. Department of Commerce to Host Public Hearing on the Section 232 National Security Investigation of Imports of Automobiles and Automotive Parts
"July 11, 2018",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Steel Racks from China
"July 6, 2018",U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Cast Iron Soil Pipe Fittings from China
"July 3, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the CVD Investigation of Imports of Rubber Bands from China and Negative Preliminary Determination in the CVD Investigation of Imports of Rubber Bands from Thailand
"July 3, 2018","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Sodium Gluconate, Gluconic Acid, and Derivative Products from China"
"June 26, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Determination on Cast Iron Soil Pipe from China
"June 20, 2018",Department of Commerce Grants First Product Exclusion Requests from Section 232 Tariffs on Steel Imports
"June 20, 2018","U.S. Department of Commerce Issues Affirmative Preliminary Determinations on Large Diameter Welded Pipe from China, India, Korea, and Turkey"
"June 19, 2018",U.S. Department of Commerce Issues Affirmative Final Antidumping Duty Determination on Tapered Roller Bearings from Korea
"June 19, 2018",U.S. Department of Commerce Finds Dumping of Imports of Low Melt Polyester Staple Fiber from Korea and Taiwan
"June 19, 2018","In a Historic Decision, the U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Common Alloy Aluminum Sheet from China"
"June 12, 2018","U.S. Department of Commerce Initiates Antidumping Duty Investigations of Imports of Steel Propane Cylinders from China, Taiwan, and Thailand and a Countervailing Duty Investigation of Imports of Steel Propane Cylinders from China"
"June 12, 2018",U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Ripe Olives from Spain
"June 7, 2018","Secretary Ross Announces $1.4 Billion ZTE Settlement; ZTE Board, Management Changes and Strictest BIS Compliance Requirements Ever"
"June 6, 2018",U.S. Department of Commerce Issues Affirmative Final Antidumping Duty Determination on Stainless Steel Flanges from the People’s Republic of China
"May 30, 2018","U.S. Department of Commerce Finds Dumping of Imports of Citric Acid and Certain Citrate Salts from Belgium, Colombia, and Thailand"
"May 30, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Determination on Imports of Certain Plastic Decorative Ribbon from China
"May 24, 2018","U.S. Department of Commerce Finds Dumping of Imports of Fine Denier Polyester Staple Fiber from China, India, Korea, and Taiwan"
"May 23, 2018",U.S. Department of Commerce Initiates Section 232 Investigation into Auto Imports
"May 21, 2018",U.S. Department of Commerce Issues Affirmative Final Circumvention Rulings on Steel from Vietnam
"April 17, 2018",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Certain Steel Wheels from China
"April 16, 2018",Secretary Ross Announces Activation of ZTE Denial Order in Response to Repeated False Statements to the U.S. Government
"April 10, 2018","U.S. Department of Commerce Finds Dumping  of Imports of Cold-drawn Mechanical Tubing from  China, Germany, India, Italy, Korea, and Switzerland"
"April 6, 2018",U.S. Department of Commerce Issues Affirmative Final Determination on Stainless Steel Flanges from the People's Republic of China
"April 5, 2018",U.S. Department of Commerce Issues Affirmative Final Antidumping Duty Determinations on Tool Chests and Cabinets from China and Vietnam
"March 28, 2018",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Laminated Woven Sacks from Vietnam
"March 22, 2018",U.S. Department of Commerce Finds Dumping of Imports of Carton-Closing Staples from the People's Republic of China
"March 20, 2018","U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Carbon and Alloy Steel Wire Rod from Italy, Korea, Spain, Turkey and the United Kingdom"
"March 20, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Stainless Steel Flanges from China and India
"March 18, 2018",U.S. Department of Commerce Announces Steel and Aluminum Tariff Exclusion Process
"March 13, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Uncoated Groundwood Paper from Canada
"March 8, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Determination on Forged Steel Fittings from China
"March 1, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Determination on Polytetrafluoroethylene Resin from India
"March 1, 2018","U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Silicon Metal from Australia, Brazil, Kazakhstan and Norway"
"February 27, 2018",U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Aluminum Foil From the People’s Republic of China
"February 22, 2018","U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Rubber Bands from China, Sri Lanka and Thailand"
"February 21, 2018",U.S. Department of Commerce Issues Affirmative Final Antidumping Duty Determinations on Biodiesel From Argentina and Indonesia
"February 16, 2018",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Cast Iron Soil Pipe from China
"February 14, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Cast Iron Soil Pipe Fittings from  the People's Republic of China
"February 13, 2018","U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Large Diameter Welded Pipe from Canada, Greece, China, India, Korea, and Turkey"
"January 30, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Certain Tapered Bearings from Korea
"January 29, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Low Melt Polyester Staple Fiber from Korea and Taiwan
"January 17, 2018",U.S. Department of Commerce Issues Affirmative Final Determinations on Fine Denier Polyester Staple Fiber from China and India
"January 17, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Determinations on Stainless Steel Flanges from the People’s Republic of China and India
"January 17, 2018",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Certain Plastic Decorative Ribbon from China
"January 10, 2018",U.S. Department of Commerce Finds Dumping of Imports of Carbon and Alloy Steel Wire Rod from South Africa and Ukraine
"January 9, 2018",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Uncoated Groundwood Paper from Canada
"January 2, 2018","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Citric Acid and Certain Citrate Salts from Belgium, Colombia and Thailand"
"December 21, 2017","Commerce Initiates Antidumping Duty Investigations of Imports of Sodium Gluconate, Gluconic Acid and Derivative Products from China and France, and a Countervailing Duty Investigation of Imports of Sodium Gluconate, Gluconic Acid and Derivative Products"
"December 20, 2017",U.S. Department of Commerce Finds Dumping and Subsidization of Imports of 100- to 150-Seat Large Civil Aircraft from Canada
"December 19, 2017","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Fine Denier Polyester Staple Fiber from the People’s Republic of China (China), India, the Republic of Korea (Korea) and Taiwan"
"December 13, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Cast Iron Soil Pipe Fittings from the People's Republic of China
"December 5, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Circumvention Rulings on Steel from Vietnam
"November 28, 2017",U.S. Department of Commerce Self-Initiates Historic Antidumping and Countervailing Duty Investigations on Common Alloy Aluminum Sheet From China
"November 28, 2017",U.S. Department of Commerce Issues Affirmative Final Countervailing Duty Determination on Tool Chests and Cabinets from China
"November 21, 2017","U.S. Department of Commerce Finds Dumping of Imports of Carbon and Alloy Steel Wire Rod from Belarus, Russia and the United Arab Emirates (UAE)"
"November 21, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Ripe Olives From Spain
"November 16, 2017","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Cold-Drawn Mechanical Tubing from Germany, China, Switzerland, India, Italy and Korea"
"November 13, 2017",U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Hardwood Plywood Products from China
"November 13, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Tool Chests and Cabinets from China and Vietnam
"November 9, 2017",U.S. Department of Commerce Issues Affirmative Final Countervailing Duty Determinations on Biodiesel from Argentina and Indonesia
"November 2, 2017",U.S. Department of Commerce Finds Dumping and Subsidization of Imports of Softwood Lumber from Canada
"November 1, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Determinations on Fine Denier Polyester Staple Fiber from the People’s Republic of China and India
"October 27, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Aluminum Foil from the People’s Republic of China
"October 26, 2017","Department of Commerce Initiates Antidumping Duty Investigations of Imports of Forged Steel Fittings from Italy, the People’s Republic of China (China) and Taiwan, and a Countervailing Duty Investigation of Imports of Forged Steel Fittings from China"
"October 25, 2017","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Carbon and Alloy Steel Wire Rod from Italy, the Republic of Korea, South Africa, Spain, Turkey, Ukraine and the United Kingdom"
"October 23, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Biodiesel From Argentina and Indonesia
"October 19, 2017",U.S. Department of Commerce Initiates Antidumping Duty Investigations of Imports of Polytetrafluoroethylene Resin from India and the People’s Republic of China and a Countervailing Duty Investigation of Imports of Polytetrafluoroethylene Resin from India
"October 17, 2017","U.S. Department of Commerce Initiates Antidumping Duty Investigations of Imports of Polyethylene Terephthalate Resin from Brazil, Indonesia, the Republic of Korea, Pakistan and Taiwan"
"October 6, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Imports of 100- to 150-Seat Large Civil Aircraft From Canada
"October 5, 2017","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations of Silicon Metal from Australia, Brazil and Norway"
"October 5, 2017",U.S. Department of Commerce Defers the Issuance of the Preliminary Antidumping Duty Determination on Aluminum Foil from the People's Republic of China
"September 26, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Imports of 100- to 150-Seat Large Civil Aircraft From Canada
"September 19, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Cold-Drawn Mechanical Tubing from China and India
"September 15, 2017",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Titanium Sponge from Japan and Kazakhstan
"September 12, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Tool Chests and Cabinets from the People's Republic of China
"September 6, 2017","U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Carbon and Alloy Steel Wire Rod from Belarus, Russia and the United Arab Emirates"
"September 6, 2017",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Stainless Steel Flanges from China and India
"August 30, 2017",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Uncoated Groundwood Paper from Canada
"August 28, 2017",U.S. Secretary of Commerce Announces the Postponement of the Final Determination in the AD and CVD Investigation of Imports of Softwood Lumber from Canada
"August 22, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determinations on Biodiesel from Argentina and Indonesia
"August 8, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Aluminum Foil From the People's Republic of China
"August 8, 2017","U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determinations of Silicon Metal from Australia, Brazil and Kazakhstan"
