"report_uuid","issue_ordi","registrant_name","client_name","issue_text","date_received"
e97ad639-6086-5cb3-bf99-5f7ec4f1db31,1,THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),LEGGET & PLATT,Issues related to USMCA. Issues related to Section 232 tariffs. Issues related to anti-dumping investigations.,2020-07-16 00:00:00
fd75cbc8-2b39-56b0-bab5-07086b85f8e5,1,MR. | SEBASTIAN | O'KELLY,Gulf Oyster Industry Council,"Support for inclusion in FY 2021 Energy &amp; Water Appropriations Bills report language encouraging the Army Corps of Engineers to better assess water quality impacts on Gulf of Mexico oysters of navigation and coastal restoration projects and where feasible to mitigate any negative impacts on area oyster reefs. Monitor funding and development of Gulf coastal restoration, flood control and navigation projects. Monitor funding decisions and activities of entities (NRDA Trustee Implementation Groups, RESTORE Act Council, National Fish &amp; Wildlife Foundation) responsible for disbursement of BP Deepwater Horizon oil spill settlement funding.  Monitoring of the Army Corps preparation and review of the Environmental Impact Statement for construction of the Mid-Barataria Sediment Diversion and Mid-Breton Sediment Diversion in the lower MS River. Monitoring of interagancy project coordination efforts for environmental permitting for the projects by CEQ and the Federal Permitting Improvement Steering Council. Advocacy for Federal fisheries disaster relief for Gulf oyster industry as a result of 2019 flooding in the Mississippi River and growing mortality of oysters in the Gulf of Mexico and affected States of LA, MS, and AL.  Support for funding of LA, MS and AL fisheries disaster requests in the FY 2021 Commerce, Justice, Science Appropriations Bills.  Support for NOAA funding award to GOM states for 2019 fisheries disaster.  Monitoring, analysis, and comment on Federal fisheries disaster reform legislation (S. 2346, The Fishery Failures: Urgently Needed Disaster Declarations Act).  Monitoring of funding in the CARES Act for and implementation of the small business Payroll Protection Program and SBA Economic Injury Disaster Loan Programs, and advice to GOIC members on how to apply.  Monitoring of fisheries disaster relief funding in the CARES Act and House-passed HEROES Act.  Support for the RESTAURANTS Act (S. 4012/HR 7197).  Monitoring of CBP award of injury duties for foreign country dumping of shrimp in the U.S. market.  Monitoring of discussions over extension of business interruption insurance to future pandemics.",2020-07-15 00:00:00
"4d2192a0-f6c0-5366-9a29-80a60845900a",5,MANUFACTURED HOUSING INSTITUTE,MANUFACTURED HOUSING INSTITUTE,"Seek fair and equitable solution regarding anti-dumping duties on Canadian lumber imports, tariffs on steel and aluminum product imports, and tariffs on manufactured home tires.",2020-07-15 00:00:00
bfa7babc-b758-52a1-98ae-add35338a504,1,"THE LIVINGSTON GROUP, L.L.C.","North American Interpipe, Inc.","1. An antidumping duty suspension agreement on certain oil country tubular goods (OCTG) from Ukraine; and 
2. Section 232 of the Trade Expansion Act of 1962",2020-07-15 00:00:00
"79e8134b-72ee-531e-97eb-186b7f9953ec",6,DAIKIN U.S. CORPORATION,Daikin U.S. Corporation,"Section 232 Investigation on Steel
Section 232 Investigation on Aluminum
Section 301 Tariff Proposals - List 1, 2, 3, 4
USMCA
Anti-Dumping Hydrofluorocarbon Blends From the People's Republic of China",2020-07-15 00:00:00
"1db25ca3-d947-5df8-82ed-3d3e076dd614",1,MEREVIR CONSULTING,Giant Cement Holding Inc.,Any and all legislation relating to dumping of subsidized foreign cement into the United States.,2020-07-13 00:00:00
"4d438dba-34ed-5d5a-aa29-d4fc38cdef38",1,"RYBERG AND SMITH, L.L.C.",International Sugar Trade Coalition,"1. Administration of US TRQs on sugar; 2. antidumping and countervailing duty investigations of sugar imports from Mexico; 3. Other issues affecting access to the US sugar market",2020-07-07 00:00:00
"17251b37-8fe1-5f3c-852e-124cb5a97e52",2,"RYBERG AND SMITH, L.L.C.",CBI Sugar Group,"Legislation affecting the US sugar program, Administration of the US sugar program, Treatment of sugar under trade preference programs and FTAs, and antidumping and countervailing duty investigations of sugar imports from Mexico.",2020-07-07 00:00:00
"17251b37-8fe1-5f3c-852e-124cb5a97e52",1,"RYBERG AND SMITH, L.L.C.",CBI Sugar Group,"Legislation affecting the US sugar program, Administration of the US sugar program, Treatment of sugar under trade preference programs and FTAs, and antidumping and countervailing duty investigations of sugar imports from Mexico.",2020-07-07 00:00:00
"46aca213-2e3e-5aec-adfb-1d05563effbf",1,FLORIDA CITRUS MUTUAL,FLORIDA CITRUS MUTUAL,"Agricultural Approps, Immigration Reform, Citrus Health Response Plan, HLB Greening Research, Market Access Program, Foreign Market Development, Farm Bill, Hurricane IRMA relief for citrus produces.  C R A F T Program / Grove Renovation Program / WHIP / Dumping Orders",2020-07-06 00:00:00
f7858d30-3882-5ca0-9de0-a11c21d07f1f,4,"JMH GROUP, FORMERLY JAMIAN MCELROY & HAMLIN, LLC","Delta Star, Inc.",Followed up with Congressman Cline and Riggleman's offices - followed up on a dumping issue by Hyundai regarding to imported transformers.,2020-07-01 00:00:00
"3f4d9c52-096b-5bbc-a65d-986ac1990541",4,"ROBERT N. PYLE & ASSOCIATES, INC.",ERAMET MARIETTA INC,anti dumping relief,2020-06-30 00:00:00
"176827b6-63a2-57ab-84ac-95d76b7113fe",3,ALBEMARLE CORPORATION,ALBEMARLE CORPORATION,anti-dumping,2020-06-08 00:00:00
c8ced3d3-c819-5038-90bc-1c40a229168c,1,FLORIDA CITRUS MUTUAL,FLORIDA CITRUS MUTUAL,"Agricultural Approps, Immigration Reform, Citrus Health Response Plan, HLB Greening Research, Market Access Program, Foreign Market Development, Farm Bill, Hurricane IRMA relief for citrus produces.  C R A F T Program / Grove Renovation Program / WHIP / Dumping Orders",2020-05-07 00:00:00
"29e45a43-37a0-52ab-ad86-d1abff44e4e9",1,"PARK STRATEGIES, LLC","Brookfield Property Group, LLC","Anti-Dumping/Countervailing Duties Case filed against Canada, Mexico &amp; China recently by the American Institute of Steel Contractors alleging dumping/illegal subsidy of fabricated structural steel by manufacturers in those countries.",2020-04-30 00:00:00
cdf2f85a-60d5-5f37-a805-eba9f087c884,2,"PARK STRATEGIES, LLC","Brookfield Financial Properties, LLC","Anti-Dumping/Countervailing Duties Case filed against Canada, Mexico &amp; China recently by the American Institute of Steel Contractors alleging dumping/illegal subsidy of fabricated structural steel by manufacturers in those countries.",2020-04-30 00:00:00
cdf2f85a-60d5-5f37-a805-eba9f087c884,1,"PARK STRATEGIES, LLC","Brookfield Financial Properties, LLC","Anti-Dumping/Countervailing Duties Case filed against Canada, Mexico &amp; China recently by the American Institute of Steel Contractors alleging dumping/illegal subsidy of fabricated structural steel by manufacturers in those countries.",2020-04-30 00:00:00
"29e45a43-37a0-52ab-ad86-d1abff44e4e9",2,"PARK STRATEGIES, LLC","Brookfield Property Group, LLC","Anti-Dumping/Countervailing Duties Case filed against Canada, Mexico &amp; China recently by the American Institute of Steel Contractors alleging dumping/illegal subsidy of fabricated structural steel by manufacturers in those countries.",2020-04-30 00:00:00
"55a0f865-3935-54f6-9d81-6cca8a65aa5f",3,RENEWABLE FUELS ASSOCIATION,RENEWABLE FUELS ASSOCIATION,EU Anti-Dumping Penalty; Peru Ethanol Trade and Fuel Policy; Peru Countervailing Duty Action; Brazil Ethanol Import Tariffs and Tariff Rate Quota; Brazil RenovaBio program; China Ethanol and DDGS tariffs; Mexico Fuel Reform; India Fuel Grade Ethanol Import Ban; Colombia Ethanol Countervailing Duty Investigation; Ontario/Canada Clean Fuel Standard; Canada Ethanol Import Tariff; Japan Fuel Policy and Blending Program; China Phase Deal,2020-04-28 00:00:00
"124bd2e7-2aef-5ce9-964a-419141dda2a2",3,NATIONAL FISHERIES INSTITUTE,NATIONAL FISHERIES INSTITUTE,"International trade issues; Trade Promotion Authority; trade discussions;promotion of exported goods; Generalized Systems of Preferences; Lacey Act violations; food costs; tax reform; seafood traceability regulations; FY21 Appropriations; international regulatory issues; international seafood treaties;anti-dumping and countervailing duties policy; trade issues with European Union; implementation of the Food, Conservation &amp; Energy Act of 2008 (P.L. 110-246); Implementation of the Agriculture Act of 2014 (P.L. 113-79), trade and tariffs disputes for imported and domestic goods, tariffs on goods imported from China; H.R. 940/S. 287: Bicameral Congressional Trade Authority Act; HR 1452/S.577: Import Tax Relief Act; implementation of FY19 and FY20 Spending package directives; CARES Act; COVID-19 Pandemic Relief bills",2020-04-22 00:00:00
"124bd2e7-2aef-5ce9-964a-419141dda2a2",14,NATIONAL FISHERIES INSTITUTE,NATIONAL FISHERIES INSTITUTE,global production and distribution of seafood; manufacturing of domestic and imported seafood products; Food Safety Modernization Act Implementation; health benefits of a seafood diet; food costs; tax reform; trade discussions; promotion of exported goods; Generalized Systems of Preferences; Lacey Act violations; seafood traceability regulations; international regulatory issues; international seafood treaties;anti-dumping and countervailing duties policy; trade issues with European Union; tariff disputes in regards to imported and domestic seafood products;H.R. 940/S. 287: Bicameral Congressional Trade Authority Act; HR 1452/S.577: Import Tax Relief Act; FY21 Appropriations; CARES Act; COVID-19 Pandemic Relief bills,2020-04-22 00:00:00
"124bd2e7-2aef-5ce9-964a-419141dda2a2",12,NATIONAL FISHERIES INSTITUTE,NATIONAL FISHERIES INSTITUTE,manufacturing of domestic and imported seafood products; food costs; global production and distribution of seafood;tax reform; health benefits of a seafood diet; trade discussions; promotion of exported goods; Generalized Systems of Preferences; Lacey Act violations; seafood traceability regulations; international regulatory issues; international seafood treaties;anti-dumping and countervailing duties policy; trade issues with European Union; tariff disputes with regards to domestic and imported seafood products; tariff exclusion process for tariffs on goods from China; FY21 Appropriations; CARES Act; COVID-19 Pandemic Relief bills,2020-04-22 00:00:00
"124bd2e7-2aef-5ce9-964a-419141dda2a2",11,NATIONAL FISHERIES INSTITUTE,NATIONAL FISHERIES INSTITUTE,manufacturing of domestic and imported seafood products; Food Safety Modernization Act Implementation; health benefits of a seafood diet; food costs; tax reform; global production and distribution of seafood;trade discussions; promotion of exported goods; Generalized Systems of Preferences; Lacey Act violations; seafood traceability regulations; international regulatory issues; international seafood treaties;anti-dumping and countervailing duties policy; trade issues with European Union; trade issues with China; tariff disputes over imported and domestic seafood products; enforcement of net weight violattions; standards of identity for food products; labeling regulations; expanding domestic aquaculture; FY21 Appropriations; CARES Act; COVID-19 Pandemic Relief bills,2020-04-22 00:00:00
"124bd2e7-2aef-5ce9-964a-419141dda2a2",8,NATIONAL FISHERIES INSTITUTE,NATIONAL FISHERIES INSTITUTE,International tariff issues; Trade Promotion Authority; Generalized Systems of Preferences; Customs regulations; Lacey Act violations; tax reform; international seafood treaties;seafood traceability regulations; international regulatory issues; food costs; global production and distribution of seafood;anti-dumping and countervailing duties policy; trade issues with European Union;trade discussions;promotion of exported goods; tariff disputes for imported seafood as well as domestic seafood products; exclusion process for tariffs on goods from China; H.R. 940/S. 287: Bicameral Congressional Trade Authority Act; HR 1452/S.577: Import Tax Relief Act; FY21 Appropriations; CARES Act; COVID-19 Pandemic Relief bills,2020-04-22 00:00:00
"124bd2e7-2aef-5ce9-964a-419141dda2a2",13,NATIONAL FISHERIES INSTITUTE,NATIONAL FISHERIES INSTITUTE,tax reform; manufacturing of domestic and imported seafood products; food costs; health benefits of a seafood diet; trade and tariff discussions; seafood traceability regulations; international regulatory issues; global production and distribution of seafood; international seafood treaties;anti-dumping and countervailing duties policy; trade issues with European Union; trade issues with China; CARES Act; COVID-19 Pandemic Relief bills,2020-04-22 00:00:00
c60c5678-d21f-59e6-acf2-e5152a6a4523,1,COALITION FOR A PROSPEROUS AMERICA,Coalition for a Prosperous America,"Ensuring all anti-dumping, countervailing duties, Section 232, 201, 301, and all other tariffs are left in place.",2020-04-21 00:00:00
afa4b508-18b4-5346-b9c3-e7980a0b10db,11,ARKEMA INC.,ARKEMA INC,"Issues related to free trade agreements, including the U.S.- E.U. free trade agreement and other E.U.-related issues, USMCA, US-Japan agreement, U.S.-Brazil agreement and U.S.-India trade issues and trade barriers. Issues related to antidumping matters, tariffs (including Section 301 tariffs and Chinese import issues), duty suspensions, and per- and polyfluoroalkyl substances/materials and export/import regulations
",2020-04-20 00:00:00
"96a8255f-7ee3-5a6a-be89-bc5a5e0dd937",2,"BROWNSTEIN, HYATT, FARBER, SCHRECK, LLP",NATIONAL BIODIESEL BOARD,General trade issues; issues related to antidumping case in Argentina,2020-04-20 00:00:00
"96a8255f-7ee3-5a6a-be89-bc5a5e0dd937",3,"BROWNSTEIN, HYATT, FARBER, SCHRECK, LLP",NATIONAL BIODIESEL BOARD,General trade issues; issues related to antidumping case in Argentina,2020-04-20 00:00:00
e434f1e0-5d76-5161-a017-cb450e212218,1,MEREVIR CONSULTING,Giant Cement Holding Inc.,Any and all legislation relating to dumping of subsidized foreign cement into the United States.,2020-04-20 00:00:00
"5ababb55-b789-5211-a9fb-1d72b0a68141",8,NATIONAL MARINE MANUFACTURERS ASSOCIATION,NATIONAL ASSOCIATION OF MANUFACTURERS,"retalitory tariffs on US boats from China, Canada, Mexico, and Europe; Bicameral Congressional Trade Authority Act of 2019 (H.R.940/S.287); Trade Security Act (H.R.1008/S.365); 301 tariff on marine products, 232 tariffs on steel and aluminum; antidumping and countervieling duties on Chinese aluminum sheet; tax on non-motorized vessels and paddlecraft
",2020-04-20 00:00:00
"1b932e7f-bcc5-5630-9317-6cf1698f2234",1,SIDLEY AUSTIN LLP,"Hyundai Power Transformers USA, Inc.",The calculation of Hyundai Power Transformer's dumping duties by the Department of Commerce,2020-04-20 00:00:00
"1b932e7f-bcc5-5630-9317-6cf1698f2234",2,SIDLEY AUSTIN LLP,"Hyundai Power Transformers USA, Inc.",The calculation of Hyundai Power Transformer's dumping duties by the Department of Commerce,2020-04-20 00:00:00
"12faaf0a-20b5-5c4e-93b0-ea19c9c8f935",5,MANUFACTURED HOUSING INSTITUTE,MANUFACTURED HOUSING INSTITUTE,"Seek fair and equitable solution regarding anti-dumping duties on Canadian lumber imports, tariffs on steel and aluminum product imports, and tariffs on manufactured home tires.",2020-04-20 00:00:00
fa59c25e-b0f8-54c1-a9d0-2ac18470f7cf,1,KING & SPALDING LLP,American Furniture Manufacturers Committee for Legal Trade (Informal Coalition),China antidumping issues; trade issues related to enforcement of China dumping orders; furniture import evasion issues,2020-04-20 00:00:00
"80cd7b09-e839-53b1-b143-671c8bae7576",1,KING & SPALDING LLP,Polyethylene Retail Carrier Bag Committee (Informal Coalition),Preservation and enforcement of U.S. trade remedy laws; issues related to China antidumping enforcement,2020-04-20 00:00:00
"21e47ad2-cd84-5d03-8b0d-9343ad288fe4",1,CARMEN GROUP INCORPORATED,Ardagh Glass Inc.,Impact of Chinese dumping of glass products into US Markets,2020-04-20 00:00:00
"21e47ad2-cd84-5d03-8b0d-9343ad288fe4",2,CARMEN GROUP INCORPORATED,Ardagh Glass Inc.,Impact of Chinese dumping of glass products into US Markets,2020-04-20 00:00:00
"21e47ad2-cd84-5d03-8b0d-9343ad288fe4",3,CARMEN GROUP INCORPORATED,Ardagh Glass Inc.,Impact of Chinese dumping of glass products into US Markets,2020-04-20 00:00:00
"69810257-333e-5d6c-a43f-774c2cd76b0a",2,INTERNATIONAL WOOD PRODUCTS ASSOCIATION,International Wood Products Association,Importation of wood and wood products. Antidumping and countervailing duties. Wood products trade with Peru. Wood products trade with Brazil. The U.S.-Mexico-Canada Agreement. Application of TSCA import certification for composite wood products. USFWS implementation of new and existing timber species on appendicies of the Convention on International Trade in Endangered Species of Wild Fauna and Flora. Application of Section 301 tariffs to wood products.,2020-04-20 00:00:00
"0da3dbab-a321-5e00-ab4b-f7ab06ddd368",12,"UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS","United Automobile, Aerospace & Agricultural Implement Workers",Currency Manipulation; Encouraging U.S. Exports; NAFTA Renegotiation; Buy America; KORUS; Dumping; 232; Labor Rights; Trade Enforcement; Japan; Britain; China; Kenya; EU; EVs; Acceptance of US auto safety standards; TAA; USMCA; 232 Tariffs on Electrical Steel,2020-04-20 00:00:00
"900b0b16-ac99-5dc1-a04f-b7bb07d2f3b8",1,WATKINSON MILLER PLLC,"TRUE SOURCE HONEY, LLC",Seek implementation of a standard of identity for honey; support for the 2018 Farm Bill; work with agency officials to investigate circumvention of the anti-dumping order on Chinese honey imports.,2020-04-20 00:00:00
"900b0b16-ac99-5dc1-a04f-b7bb07d2f3b8",2,WATKINSON MILLER PLLC,"TRUE SOURCE HONEY, LLC",Seek implementation of a standard of identity for honey; support for the 2018 Farm Bill; work with agency officials to investigate circumvention of the anti-dumping order on Chinese honey imports.,2020-04-20 00:00:00
"900b0b16-ac99-5dc1-a04f-b7bb07d2f3b8",3,WATKINSON MILLER PLLC,"TRUE SOURCE HONEY, LLC",Seek implementation of a standard of identity for honey; support for the 2018 Farm Bill; work with agency officials to investigate circumvention of the anti-dumping order on Chinese honey imports.,2020-04-20 00:00:00
"1ee5ec9f-f236-5cd8-a087-d63fae1690a8",1,WILLIAMSON LAW + POLICY PLLC,"RMS of Georgia, LLC d/b/a Choice Refrigerants",Enforcement of US antidumping and anticircumvention laws relating to refrigerant imports. Processing of Section 301 tariff exemptions.,2020-04-20 00:00:00
a89cf3d0-8bd9-5933-b1b3-6610e89e062d,2,MICHIGAN FARM BUREAU,Michigan Farm Bureau,"MFB urged Congress to support H.R. 101/S. 16 the Defending Domestic Produce Production Act, a bill that would make it easier for a small seasonal, specialty crop industry to build and take a case against a foreign county that is believed to be dumping product below the cost of production or unfairly subsidized by their government. We also urged support of S. 564, the Self Initiation Trade Enforcement Act, a bill that would create a task force within the Department of Commerce that small seasonal specialty crop industries could petition in the event they believe they are being hurt by unfair foreign competition.
Farm Bureau urged the Administration to quickly finalize a trade deal with the Peoples Republic of China and end tariffs hurting US agricultural exports. Farm Bureau urged quick passage, and end to tariffs and expanded markets for U.S. agriculture. Farm Bureau supported the Phase I agreement reached in January.
We also communicated to USDA about a concern with competition our tart cherry industry is experiencing from the country of Turkey with little barriers to entry, in addition to seasonal competition to US asparagus growers from Mexico and Peru. Michigan Farm Bureau advocated for and supported the new trade agreement with Japan. Japan currently is the top 3 trade destination for Michigan agricultural products.
Michigan Farm Bureau also advocated for improved trade with the European Union. Trade between the two countries amounts to $1 trillion worth of goods and services annually and $3.7 trillion in two-way direct investment. The U.S. exported $12.7 billion in agricultural products to the EU in 2018, while the EU exported $23.7 billion in agricultural products to the U.S. Specifically, MFB advocated for the following points: Include all agricultural products and policies in the negotiations; Eliminate non-tariff trade barriers; Ensure market access for biotechnology products; Address issues concerning import-sensitive products; Oppose the Precautionary Principle; and Oppose the use of geographic indicators.",2020-04-20 00:00:00
e129617d-0a85-515e-b368-2d90acf865e1,3,"CHAPMAN CAPITOL CONSULTING, INC.",DOYON LTD,Anti-dumping and countervailing duty investigations on fabricated structural steel,2020-04-20 00:00:00
bf8550a5-4355-561a-9a79-3344148a5a3d,2,FLORIDA CRYSTALS CORPORATION,FLORIDA CRYSTALS CORPORATION,"FTA's including NAFTA, CAFTA-DR, USMCA, and WTO negotiations that might impact the Tariff Rate Quotas and/or elimination of tariffs on sugar, as well as Mexican Anti-dumping and Countervailing Duty trade cases. Other trade issues affecting sugar or biofuels.  Administration of tariff rate quotas on sugar.",2020-04-20 00:00:00
"14d62d4c-45ea-500d-b237-af89807ef77e",7,THE HOME DEPOT,The Home Depot,tariffs on imports under Section 301; EU tariffs; USTR Section 301 exclusion process and exclusions for impacted products; CBP Duty deferrals; retroactive refunds of Section 301 tariffs; HR 5911 Fair Tariff Act; ready to assemble cabinets/vanities anti-dumping and countervailing duties,2020-04-20 00:00:00
"5b415554-72fc-5f6b-814b-4f50daec7fea",1,KELLEY DRYE & WARREN LLP,FRESH GARLIC PRODUCERS ASSOCIATION,Fraudulent claims made regarding the anti-dumping order on fresh garlic from China,2020-04-20 00:00:00
